"","SITEID","ARCX","ARCY","BINHAB","HABITAT","RIV.DIST.M","CONF.DIST.M","KOP.DIST.M","ROAD.DIST.M","AVG.TREE.10","PER.TREE.COV","lion.encount.dry","lion.encount.wet"
"1","B03",695075,9731632,"plains","grassland",3025.187409,3334.826383,5799.827115,386.4814148,19.3,8873,0.103796826417206,0.11186208281548
"2","B04",695238,9729497,"plains","grassland",1649.2395,2218.615169,6847.218456,335.3443966,5.5,10079,0.103796826417206,0.11186208281548
"3","B05",694892,9727162,"plains","grassland",1013.889717,699.7965626,5742.552009,1374.425545,5.5,9551,0.103796826417206,0.260526489230202
"4","B06",694963,9724748,"plains","grassland",2935.747739,1104.754274,4573.639611,1272.591188,5.5,8981,0.082363073589067,0.396209423169179
"5","B07",695026,9722578,"plains","grassland",1259.639695,1285.152173,4466.605015,897.8945483,71.7,7363,0.082363073589067,0.400696225977568
"6","B08",694921,9720450,"plains","grassland",1864.601441,1888.142069,5432.385857,10,257.8,5996,0.082363073589067,0.400696225977568
"7","C02",697372,9733742,"plains","grassland",1768.352411,3700.378919,2682.85558,17,12.3,7197,0.103796826417206,0.026799636469744
"8","C03",697344,9731655,"plains","grassland",2602.995485,2785.996249,4300.254062,610.9265358,19.6,8655,0.103796826417206,0.11186208281548
"9","C04",697247,9729343,"plains","grassland",2541.356381,2505.576925,4838.842077,1431.651147,191.2,7088,0.103796826417206,0.11186208281548
"10","C05",697171,9726974,"plains","grassland",2953.569716,1627.754309,4046.384588,741.3455749,860,6845,0.103796826417206,0.481271869514915
"11","C06",697336,9725161,"plains","grassland",3154.448605,2772.723534,2584.619795,230.2724165,15.8,4695,0.113890690352455,0.396209423169179
"12","C07",697230,9722727,"plains","grassland",2606.414222,2658.242594,2306.226477,461.1295428,176.5,5808,0.113890690352455,0.427495862447312
"13","C08",697574,9720330,"plains","grassland",2724.989828,3542.464761,3688.909193,286.3335424,116.4,4905,0.082363073589067,0.400696225977568
"14","C09",697270,9718230,"plains","grassland",2487.465252,2477.06795,5718.87082,1177.886805,39.6,6274,0.082363073589067,0.031286439278133
"15","C10",697349,9715985,"plains","grassland",3092.511844,3048.428454,7827.543387,672.653124,12.1,4906,0.059978632325438,0.031286439278133
"16","C11",697264,9713665,"plains","grassland",4244.495406,4365.586579,8377.955532,511.5299826,5.5,5946,0.059978632325438,0
"17","C12",697302,9711291,"plains","grassland",1932.138842,2002.981615,6713.860681,100,44.9,7123,0.059978632325438,0
"18","C13",697193,9709244,"plains","grassland",62.8323347,439.3254022,5134.300838,251.5526965,48.2,7908,0.049884768390189,0.093569989339851
"19","D02",699396,9733829,"plains","grassland",486.2714977,2195.271595,1504.92718,17,21.2,9329,0.613904030072126,0.026799636469744
"20","D03",699427,9731593,"plains","grassland",528.6077591,758.7392694,3396.963191,17,28.4,5621,0.640888685056264,1.6586933628672
"21","D04",699543,9729343,"plains","grassland",408.2804862,310.2253057,2543.649933,50,5.5,6892,0.640888685056264,2.45134508530037
"22","D05",699577,9726907,"plains","grassland",1125.654678,1202.167567,3321.17399,922.3940803,106.8,6136,0.589959812822126,1.1382406580091
"23","D06",699250,9724612,"plains","grassland",1316.05026,1702.836972,1032.654141,532.1944589,253.6,6392,0.113890690352455,0.481271869514915
"24","D07",699479,9722596,"plains","grassland",487.2553673,582.4835278,947.1778417,66.40360899,83.2,6194,0.113890690352455,0.512558308793048
"25","D08",699492,9720169,"plains","grassland",873.0724841,2882.622362,3373.86464,954.8351507,61.7,5433,0.082363073589067,0.16696937321711
"26","D09",699532,9718268,"plains","grassland",1577.514045,4718.293228,5275.258048,679.4875841,257.3,5723,0.082363073589067,0.124856428617984
"27","D10",699199,9716027,"plains","grassland",3799.653808,4672.818896,7517.874924,397.2024365,23.5,4321,0.059978632325438,0.124856428617984
"28","D11",699280,9713661,"plains","grassland",3441.670108,3424.451879,9793.222215,452.2892088,500,5114,0.059978632325438,0.124856428617984
"29","D12",699570,9711452,"plains","grassland",1769.343452,2284.525302,8378.56239,1040.616971,83.2,5774,0.126819973964444,0.093569989339851
"30","D13",699352,9709030,"plains","grassland",404.6812876,1748.667021,6425.051756,669.9358947,379.3,5503,0.116726110029195,0.093569989339851
"31","E01",701742,9735940,"plains","grassland",587.8946048,857.5174101,2221.373499,17,10.8,6940,0.039286732120981,0.026799636469744
"32","E02",701683,9733771,"plains","grassland",120.700285,387.3432022,2589.259294,17,5.6,8848,0.598763032023668,1.33990406376101
"33","E03",701778,9731512,"plains","grassland",542.0615165,1013.963008,2040.385977,390.2877829,14,7467,0.640888685056264,1.33990406376101
"34","E04",701709,9729245,"plains","grassland",1453.674526,1673.090811,421.7089403,75,7.4,4623,0.640888685056264,0.260526489230202
"35","E05",701611,9727281,"plains","grassland",889.7103308,893.8980346,2191.854157,718.4757359,70,5915,0.616944467806264,1.05317821166337
"36","E06",701572,9724921,"plains","grassland",100,476.6726783,2511.051376,9.436160864,265.8,6963,0.589959812822126,0.904513805248647
"37","E07",701468,9722414,"plains","grassland",1069.588483,1710.159509,2317.651328,148.0601756,800,5352,0.589959812822126,0.27883145603259
"38","E08",701756,9720271,"plains","grassland",1329.980609,3338.435846,4006.213955,273.5910146,619.9,5614,0.082363073589067,0.124856428617984
"39","E09",701387,9718055,"plains","grassland",2003.615498,5197.470645,5821.462806,329.4710153,1500,5098,0.059978632325438,0.124856428617984
"40","E10",701721,9716019,"plains","grassland",3354.601012,4103.18226,7860.636562,1436.168782,1500,5454,0.059978632325438,0.124856428617984
"41","E11",701950,9713636,"plains","grassland",1284.9375,1712.241501,10218.65193,515,1500,5342,0.126819973964444,0.093569989339851
"42","E12",701630,9711358,"plains","grassland",640.8266201,823.6120301,9015.024518,3100.069819,717.7,5380,0.126819973964444,0.093569989339851
"43","E13",701081,9709356,"plains","grassland",569.6187904,906.1422753,6939.990098,1117.013082,429.8,5097,0.126819973964444,0.093569989339851
