"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"1",13,2010-07-12,2010-07-27,"ndvi.13","buffalo",6,"13","0",183
"2",13,2010-07-12,2010-07-27,"ndvi.13","topi",5,"13","1",0
"3",13,2010-07-12,2010-07-27,"ndvi.13","zebra",10,"13","1",0
"4",13,2010-07-12,2010-07-27,"ndvi.13","wildebeest",2,"13","0",183
"5",13,2010-07-12,2010-07-27,"ndvi.13","hartebeest",4,"13","0",183
"6",13,2010-07-12,2010-07-27,"ndvi.13","gazelleThomsons",156,"13","1",0
"7",14,2010-07-28,2010-08-12,"ndvi.14","buffalo",2,"14","0",469
"8",14,2010-07-28,2010-08-12,"ndvi.14","wildebeest",1,"14","0",469
"9",14,2010-07-28,2010-08-12,"ndvi.14","hartebeest",9,"14","0",469
"10",14,2010-07-28,2010-08-12,"ndvi.14","topi",11,"14","1",1
"11",14,2010-07-28,2010-08-12,"ndvi.14","gazelleThomsons",416,"14","1",1
"12",14,2010-07-28,2010-08-12,"ndvi.14","zebra",31,"14","1",1
"13",15,2010-08-13,2010-08-28,"ndvi.15","wildebeest",5,"15","0",557
"14",15,2010-08-13,2010-08-28,"ndvi.15","zebra",22,"15","1",1
"15",15,2010-08-13,2010-08-28,"ndvi.15","buffalo",9,"15","0",557
"16",15,2010-08-13,2010-08-28,"ndvi.15","hartebeest",14,"15","0",557
"17",15,2010-08-13,2010-08-28,"ndvi.15","gazelleThomsons",505,"15","1",1
"18",15,2010-08-13,2010-08-28,"ndvi.15","topi",3,"15","1",1
"19",16,2010-08-29,2010-09-13,"ndvi.16","gazelleThomsons",619,"16","1",4
"20",16,2010-08-29,2010-09-13,"ndvi.16","zebra",57,"16","1",4
"21",16,2010-08-29,2010-09-13,"ndvi.16","wildebeest",6,"16","0",749
"22",16,2010-08-29,2010-09-13,"ndvi.16","topi",12,"16","1",4
"23",16,2010-08-29,2010-09-13,"ndvi.16","hartebeest",47,"16","0",749
"24",16,2010-08-29,2010-09-13,"ndvi.16","buffalo",12,"16","0",749
"25",17,2010-09-14,2010-09-29,"ndvi.17","gazelleThomsons",819,"17","1",6
"26",17,2010-09-14,2010-09-29,"ndvi.17","zebra",135,"17","1",6
"27",17,2010-09-14,2010-09-29,"ndvi.17","topi",23,"17","1",6
"28",17,2010-09-14,2010-09-29,"ndvi.17","wildebeest",10,"17","0",1069
"29",17,2010-09-14,2010-09-29,"ndvi.17","hartebeest",56,"17","0",1069
"30",17,2010-09-14,2010-09-29,"ndvi.17","buffalo",32,"17","0",1069
"31",18,2010-09-30,2010-10-15,"ndvi.18","gazelleThomsons",646,"18","1",10
"32",18,2010-09-30,2010-10-15,"ndvi.18","topi",24,"18","1",10
"33",18,2010-09-30,2010-10-15,"ndvi.18","zebra",190,"18","1",10
"34",18,2010-09-30,2010-10-15,"ndvi.18","wildebeest",12,"18","0",966
"35",18,2010-09-30,2010-10-15,"ndvi.18","hartebeest",74,"18","0",966
"36",18,2010-09-30,2010-10-15,"ndvi.18","buffalo",30,"18","0",966
"37",19,2010-10-16,2010-10-31,"ndvi.19","gazelleThomsons",391,"19","1",9
"38",19,2010-10-16,2010-10-31,"ndvi.19","zebra",179,"19","1",9
"39",19,2010-10-16,2010-10-31,"ndvi.19","wildebeest",25,"19","0",704
"40",19,2010-10-16,2010-10-31,"ndvi.19","hartebeest",75,"19","0",704
"41",19,2010-10-16,2010-10-31,"ndvi.19","topi",18,"19","1",9
"42",19,2010-10-16,2010-10-31,"ndvi.19","buffalo",25,"19","0",704
"43",20,2010-11-01,2010-11-16,"ndvi.20","gazelleThomsons",159,"20","1",1
"44",20,2010-11-01,2010-11-16,"ndvi.20","zebra",34,"20","1",1
"45",20,2010-11-01,2010-11-16,"ndvi.20","wildebeest",9,"20","0",237
"46",20,2010-11-01,2010-11-16,"ndvi.20","topi",2,"20","1",1
"47",20,2010-11-01,2010-11-16,"ndvi.20","hartebeest",25,"20","0",237
"48",20,2010-11-01,2010-11-16,"ndvi.20","buffalo",9,"20","0",237
"49",26,2011-02-02,2011-02-17,"ndvi.26","gazelleThomsons",5,"26","1",8
"50",26,2011-02-02,2011-02-17,"ndvi.26","zebra",31,"26","1",8
"51",26,2011-02-02,2011-02-17,"ndvi.26","topi",0,"26","1",8
"52",26,2011-02-02,2011-02-17,"ndvi.26","wildebeest",25,"26","0",72
"53",26,2011-02-02,2011-02-17,"ndvi.26","hartebeest",4,"26","0",72
"54",26,2011-02-02,2011-02-17,"ndvi.26","buffalo",15,"26","0",72
"55",27,2011-02-18,2011-03-05,"ndvi.27","gazelleThomsons",158,"27","1",7
"56",27,2011-02-18,2011-03-05,"ndvi.27","topi",15,"27","1",7
"57",27,2011-02-18,2011-03-05,"ndvi.27","zebra",311,"27","1",7
"58",27,2011-02-18,2011-03-05,"ndvi.27","wildebeest",84,"27","0",693
"59",27,2011-02-18,2011-03-05,"ndvi.27","hartebeest",73,"27","0",693
"60",27,2011-02-18,2011-03-05,"ndvi.27","buffalo",59,"27","0",693
"61",28,2011-03-06,2011-03-21,"ndvi.28","gazelleThomsons",110,"28","1",57
"62",28,2011-03-06,2011-03-21,"ndvi.28","zebra",896,"28","1",57
"63",28,2011-03-06,2011-03-21,"ndvi.28","wildebeest",379,"28","0",1555
"64",28,2011-03-06,2011-03-21,"ndvi.28","hartebeest",116,"28","0",1555
"65",28,2011-03-06,2011-03-21,"ndvi.28","topi",28,"28","1",57
"66",28,2011-03-06,2011-03-21,"ndvi.28","buffalo",83,"28","0",1555
"67",29,2011-03-22,2011-04-06,"ndvi.29","gazelleThomsons",44,"29","1",10
"68",29,2011-03-22,2011-04-06,"ndvi.29","zebra",282,"29","1",10
"69",29,2011-03-22,2011-04-06,"ndvi.29","wildebeest",133,"29","0",601
"70",29,2011-03-22,2011-04-06,"ndvi.29","topi",10,"29","1",10
"71",29,2011-03-22,2011-04-06,"ndvi.29","hartebeest",46,"29","0",601
"72",29,2011-03-22,2011-04-06,"ndvi.29","buffalo",96,"29","0",601
"73",30,2011-04-07,2011-04-22,"ndvi.30","hartebeest",50,"30","0",439
"74",30,2011-04-07,2011-04-22,"ndvi.30","zebra",155,"30","1",8
"75",30,2011-04-07,2011-04-22,"ndvi.30","topi",58,"30","1",8
"76",30,2011-04-07,2011-04-22,"ndvi.30","gazelleThomsons",37,"30","1",8
